user_free_form_text,request_id,user_notes,postal_code,amazon_prime,assessment_id
Samsung black stainless steel countertop microwave,5447e8de-1759-4250-8b30-15187d460adf,Ms14k6000ag,40299,TRUE,01.18_A1_01
an officer and a gentleman dvd,85b1f29c-e385-4e93-a12f-c054183dac83,,37160,FALSE,01.18_A1_02
52 inch flat screen and a Wii.,2d31773a-4f07-4d58-ae77-43fef3b1404c,,85008,TRUE,01.18_A1_03
Paint,28502635-15ad-4de2-ae8e-ee5219f56890,Off white 1 gallon,46818,FALSE,01.18_A1_04
Halloween candy,756882ca-789c-4f59-b98f-db4a6f8dde72,,68107,TRUE,01.18_A1_05
Bbq grill,3599e909-39ca-4e5d-aa7e-d4a1f8bb0d65,,66215,FALSE,01.18_A1_06
I'm looking for airline tickets to LAX,2b45ebb9-fa96-4684-8c7a-47418ef96a1d,,30278,TRUE,01.18_A1_07
Nm z z = Iel t. R/= I r ==t. r |ç|4y. For r^=,ebf288bd-2f48-41c5-a4bd-1abdb2fca5a2,,12758,FALSE,01.18_A1_08
Pedicure,91dda6ad-9ca8-4d17-9e7a-7c6f881b4f76,,80222,TRUE,01.18_A1_09
Beer,d3bfbfcb-9f8b-44d2-bc87-43099df8c917,,61571,FALSE,01.18_A1_10
Foo_ locker,fb841d1e-9fa5-4ba9-ba6b-83991e7a5e0f,,17401,TRUE,01.18_A1_11
Superbowl tickets,acba0666-d8a4-41af-96d2-4bd1aeeb1a22,,77478,FALSE,01.18_A1_12
Samsung black stainless steel countertop microwave,5447e8de-1759-4250-8b30-15187d460adf,Ms14k6000ag,40299,TRUE,01.18_A1_01
an officer and a gentleman dvd,85b1f29c-e385-4e93-a12f-c054183dac83,,37160,FALSE,01.18_A1_02
52 inch flat screen and a Wii.,2d31773a-4f07-4d58-ae77-43fef3b1404c,,85008,TRUE,01.18_A1_03
Paint,28502635-15ad-4de2-ae8e-ee5219f56890,Off white 1 gallon,46818,FALSE,01.18_A1_04
Halloween candy,756882ca-789c-4f59-b98f-db4a6f8dde72,,68107,TRUE,01.18_A1_05
Bbq grill,3599e909-39ca-4e5d-aa7e-d4a1f8bb0d65,,66215,FALSE,01.18_A1_06
I'm looking for airline tickets to LAX,2b45ebb9-fa96-4684-8c7a-47418ef96a1d,,30278,TRUE,01.18_A1_07
Nm z z = Iel t. R/= I r ==t. r |ç|4y. For r^=,ebf288bd-2f48-41c5-a4bd-1abdb2fca5a2,,12758,FALSE,01.18_A1_08
Pedicure,91dda6ad-9ca8-4d17-9e7a-7c6f881b4f76,,80222,TRUE,01.18_A1_09
Beer,d3bfbfcb-9f8b-44d2-bc87-43099df8c917,,61571,FALSE,01.18_A1_10
Foo_ locker,fb841d1e-9fa5-4ba9-ba6b-83991e7a5e0f,,17401,TRUE,01.18_A1_11
Superbowl tickets,acba0666-d8a4-41af-96d2-4bd1aeeb1a22,,77478,FALSE,01.18_A1_12
Samsung black stainless steel countertop microwave,5447e8de-1759-4250-8b30-15187d460adf,Ms14k6000ag,40299,TRUE,01.18_A1_01
an officer and a gentleman dvd,85b1f29c-e385-4e93-a12f-c054183dac83,,37160,FALSE,01.18_A1_02
52 inch flat screen and a Wii.,2d31773a-4f07-4d58-ae77-43fef3b1404c,,85008,TRUE,01.18_A1_03
Paint,28502635-15ad-4de2-ae8e-ee5219f56890,Off white 1 gallon,46818,FALSE,01.18_A1_04
Halloween candy,756882ca-789c-4f59-b98f-db4a6f8dde72,,68107,TRUE,01.18_A1_05
Bbq grill,3599e909-39ca-4e5d-aa7e-d4a1f8bb0d65,,66215,FALSE,01.18_A1_06
I'm looking for airline tickets to LAX,2b45ebb9-fa96-4684-8c7a-47418ef96a1d,,30278,TRUE,01.18_A1_07
Nm z z = Iel t. R/= I r ==t. r |ç|4y. For r^=,ebf288bd-2f48-41c5-a4bd-1abdb2fca5a2,,12758,FALSE,01.18_A1_08
Pedicure,91dda6ad-9ca8-4d17-9e7a-7c6f881b4f76,,80222,TRUE,01.18_A1_09
Beer,d3bfbfcb-9f8b-44d2-bc87-43099df8c917,,61571,FALSE,01.18_A1_10
Foo_ locker,fb841d1e-9fa5-4ba9-ba6b-83991e7a5e0f,,17401,TRUE,01.18_A1_11
Superbowl tickets,acba0666-d8a4-41af-96d2-4bd1aeeb1a22,,77478,FALSE,01.18_A1_12
Samsung black stainless steel countertop microwave,5447e8de-1759-4250-8b30-15187d460adf,Ms14k6000ag,40299,TRUE,01.18_A1_01
an officer and a gentleman dvd,85b1f29c-e385-4e93-a12f-c054183dac83,,37160,FALSE,01.18_A1_02
52 inch flat screen and a Wii.,2d31773a-4f07-4d58-ae77-43fef3b1404c,,85008,TRUE,01.18_A1_03
Paint,28502635-15ad-4de2-ae8e-ee5219f56890,Off white 1 gallon,46818,FALSE,01.18_A1_04
Halloween candy,756882ca-789c-4f59-b98f-db4a6f8dde72,,68107,TRUE,01.18_A1_05
Bbq grill,3599e909-39ca-4e5d-aa7e-d4a1f8bb0d65,,66215,FALSE,01.18_A1_06
